ÍTEM,DEL FOLIO/PAGINAS,RAZON SOCIAL REMITENTE,No. RADICADO REMITENTE,RAZON SOCIAL DESTINATARIO,No. RADICADO DESTINATARIO,FECHA (DD/MM/AAAA),ASUNTO / TIPO DOCUMENTAL,UBICACION_ARCHIVO
1,4,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2021-1677,CONSORCIO 4C,GP-14982,12/11/2021,Cumplimiento obligación pago servicio de seguimiento y control ambiental. Auto DRAM 0889 del 18/08/2021 (Rad. Int. ALMA-R-2021-1250 del 01/09/2021). Expediente 51841,15_04_Comunic_Recibidas/2021/CI004_GP-14982_070108_CON_1677_SEG_AUTO_DRAM_0889_EXP_51841.pdf
3,4,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2021-0885,CONSORCIO 4C,GP-14378,09/06/2021,Cierre PQRS-UF5-2021-1073 – Intervenciones de adecuaciones de mobiliario en el sector de la Variante del municipio de La Dorada,15_04_Comunic_Recibidas/2021/CI004_GP-14378_070109_CON_0885_ADECUA_MOBILIARIO.pdf
2,4,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2021-1680,CONSORCIO 4C,GP-14985,12/11/2021,Cumplimiento obligación pago servicio de seguimiento y control ambiental. Auto DRAM 0916 del 23/08/2021 (Rad. Int. ALMA-R-2021-1248 del 01/09/2021). Expediente 60697,15_04_Comunic_Recibidas/2021/CI004_GP-14985_070108_CON_1680_SEG_AUTO_DRAM_0916_EXP_60697.pdf
4,1,Concesión Alto Magdalena S.A.S,ALMA-2021-0414,CONSORCIO 4C,GP-14056,16/03/2021,Ref. Solicitud concepto Interventoría para la modificación de Apéndice Técnico 2 - Condiciones para la Operación y Mantenimiento-sección 3.3.9.2 Entrega de Bienes a la Policía de Carreteras del Contrato de Concesión 003 de 2014. Contrato de Interventoría No. 145 de 2014 - Proyecto Girardot – Honda – Puerto Salgar.,15_04_Comunic_Recibidas/2021/CI004_GP-14056_050300_ANI_007669-1_MODIFI_APT_2_O&M.pdf
7,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2021-0539,CONSORCIO 4C,GP-14126,07/04/2021,Estados financieros auditados y sus revelaciones al 31 de diciembre de 2020.,15_04_Comunic_Recibidas/2021/CI004_GP-14126_070202_CON_0539_ESTAD_FINAN_AUDIT_DIC20.pdf
5,4,CONCESIÓN ALTO MAGDALENA S.A.S.,CI.004/GP9308/21/7.4.1,CONSORCIO 4C,GP-14618,17/08/2021,Respuesta comunicación CI.004/GP9308/21/7.4.1 – Radicado ALMA-R-2021-1070 del 3 de agosto de 2021 - Seguimiento Disponibilidad Predial,15_04_Comunic_Recibidas/2021/CI004_GP-14618_070401_CON_1201_SEG_DISPONIBI_PREDIAL.pdf
6,4,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2021-1251,CONSORCIO 4C,GP-14661,27/08/2021,"Acciones en relación a la adecuación y funcionamiento del centro de bienestar animal, según lo estipulado por la Ley 2054 de 2020.",15_04_Comunic_Recibidas/2021/CI004_GP-14661_070109_CON_1251_CENTRO_BIENES_ANIMAL.pdf
8,2,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2021-1810,CONSORCIO 4C,GP-15096,07/12/2021,Cumplimiento obligación pago servicio de seguimiento y control ambiental. Auto DRAM 03216001138 del 05/10/2021 (Rad. Int. ALMA-R-2021-1511 del 12/10/2021). Expediente 51906,15_04_Comunic_Recibidas/2021/CI004_GP-15096_070108_CON_1810_PAG_SERV_AMB_EXP_51906.pdf
10,1,CONCESIÓN ALTO MAGDALENA S.A.S.,CI004/GP-13961/2021,CONSORCIO 4C,GP-13961,18/02/2021,Remisión de Actas de retribución de UF 1 a la UF5 mes de enero de 2021.,15_04_Comunic_Recibidas/2021/CI004_GP-13961_070210_CON_0292_ACTAS_RETRIBU_UF1_2_3_4_5.pdf
9,2,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2021-0528,CONSORCIO 4C,GP-14111,31/03/2021,Respuesta comunicado CI.004/GP8983/21/7.3.1. Solicitud cumplimiento requerimientos SUPERTRANSPORTE,15_04_Comunic_Recibidas/2021/CI004_GP-14111_070301_CON_0528_CUMPLI_REQUERI_SUPER.pdf
12,2,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2021-0222,CONSORCIO 4C,GP-13920,04/02/2021,Entrega resultados Encuesta Anual de Evaluación del Impacto de la Estrategia de Medios para el año 2020.,15_04_Comunic_Recibidas/2021/CI004_GP-13920_070109_CON_0222_ENTREG_RESULT_ENCUEST_ANUAL.pdf
13,2,SOCIEDAD CONCESIÓN ALTO MAGDALENA S.A.S.,20213040155251,CONSORCIO 4C,GP-14330,24/05/2021,"Radicados No. 20214090530442 del 12 de mayo de 2021 y No. 20214090555112 del 20 de mayo de 2021 - Solicitud de concepto técnico de permiso de uso, ocupación y la intervención temporal de la infraestructura vial - Proyecto vial Girardot – Honda – Puerto Salgar.",15_04_Comunic_Recibidas/2021/CI004_GP-14330_070114_ANI_015525-1_PERMI_USO_LMONTAÑA.pdf
11,1,FIDUCIARIA BOGOTÁ,GP-13919,CONSORCIO 4C,GP-13919,04/02/2021,Certificado de Retribución Enero 2021 y Retribución acumulada,15_04_Comunic_Recibidas/2021/CI004_GP-13919_070201_FBTA_SINNUMERO_CERT_RETRIBU_ENE21.pdf
