ÍTEM,DEL FOLIO/PAGINAS,RAZON SOCIAL REMITENTE,No. RADICADO REMITENTE,RAZON SOCIAL DESTINATARIO,No. RADICADO DESTINATARIO,FECHA (DD/MM/AAAA),ASUNTO / TIPO DOCUMENTAL,UBICACION_ARCHIVO
1,4,CONCESION ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-8387,11/04/2018,"Solicitud de ocupación de cauce K121+703, Unidad Funcional 4.2.",15_04_Comunic_Recibidas/2018/CI004_GP-8387_070108_CON_1453_OCUPA_CAUCE_K121.pdf
2,6,CONCESION ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-7451,20/03/2018,"Respuesta al oficio con radicado CI.004/GP4049/18/7.4.4 de 13 de marzo de 2018 y análisis de la información de afectación a la aprovechamiento del Título Minero 17059 del predio identificado como ALMA-4-0061 denominado “Puerto Rico”, ubicado en el Municipio de Guaduas, departamento de Cundinamarca.",15_04_Comunic_Recibidas/2018/CI004_GP-7451_070404_CON_1179_APROVE_PREDIO_PTORICO.pdf
3,1,CONCESIÓN ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-9263,29/11/2018,"Respuesta comunicación, CI.004/GP5432/18/7.4.1 (Rad. ALMA-R-2018-3304, 22/10/2018), Entrega del expediente predial ALMA-3-0122 para aprobación de ficha predial.",15_04_Comunic_Recibidas/2018/CI004_GP-9263_070401_CON_4529_EXP_PREDIAL.pdf
4,13,CONCESION ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-6852,19/12/2017,Respuesta a comunicación CI.004/GP3512/17/7.1.10 del 30 de noviembre de 2017 (Rad. Interno ALMA-R-2017-4196) Condiciones de seguridad UF 1 Y 2 Semana 147.,15_04_Comunic_Recibidas/2018/CI004_GP-6852_070110_CON_5320_CONDICIONES_SEGURIDAD_UF1_UF2_S147.pdf
5,1,CONCESION ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-8693,30/08/2018,"Respuesta oficio No. CI.004/GP5047/18/7.4.4, del 17 de Agosto de 2018, acerca de la entrega del expediente predial ALMA 5-0200, de la Unidad Funcional 5.1., para revisión en la etapa de expropiación.",15_04_Comunic_Recibidas/2018/CI004_GP-8693_070404_CON_3402_EXP_EXPRO.pdf
6,1,CONCESION ALTO MAGDALENA S.A.S.,ALMA-2017-5350,CONSORCIO 4C,GP-6885,21/12/2017,Entrega de dos (2) carpetas prediales unidad funcional 4,15_04_Comunic_Recibidas/2018/CI004_GP-6885_070401_CON_5350_EXP_PREDIAL.pdf
7,2,CONCESION ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-8180,26/06/2018,Respuesta a su comunicación CI.004/GP3269/17/7.1.7-7.1.8 del 13 de octubre de 2017 (Rad. Interno ALMA-R-2017-03625) Permisos Ocupación Cauce. UF2.,15_04_Comunic_Recibidas/2018/CI004_GP-8180_070108-070107_CON_2462_OCUP_CAUCE_UF2.pdf
9,1,CONCESION ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-7306,19/02/2018,Entrega de un (1) expediente para aprobación del Concepto de Título Minero.,15_04_Comunic_Recibidas/2018/CI004_GP-7306_070401_CON_0800_EXP_TITUL_MINE.pdf
8,1,CONCESIÓN ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-9146,10/10/2018,"Respuesta comunicación CI.004/GP5309/18/7.4.1 del 4 de Octubre de 2018 (Rad. Interno ALMA-R-2018-2236), Entrega de (1) expediente predial ALMA-3-0124 para aprobación de ficha predial.",15_04_Comunic_Recibidas/2018/CI004_GP-9146_070401_CON_3949_EXP_PREDIAL.pdf
10,1,CONCESION ALTO MAGDALENA S.A.S.,ALMA-2018-1658,CONSORCIO 4C,GP-7728,25/04/2018,Ajuste Diseño Geométrico de la Glorieta Norcasia - Unidad Funcional 5.2,15_04_Comunic_Recibidas/2018/CI004_GP-7728_070107_CON_1658_DISÑ_GEOM_GLOR_UF5.2.pdf
