ÍTEM,DEL FOLIO/PAGINAS,RAZON SOCIAL REMITENTE,No. RADICADO REMITENTE,RAZON SOCIAL DESTINATARIO,No. RADICADO DESTINATARIO,FECHA (DD/MM/AAAA),ASUNTO / TIPO DOCUMENTAL,UBICACION_ARCHIVO
1,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2020-1577,CONSORCIO 4C,GP-12783,11/06/2020,Alcance radicado CAR 20201121151 del 11/05/2020 (Radicado Interno ALMA-2020-1274). Entrega informe semestral No. 7 Resolución 1928 de 2015. Expediente ATV-0268.,15_04_Comunic_Recibidas/2020/CI004_GP-12783_070108_CON_1577_INF_SEM_N07_RESOL_1928.pdf
2,1,CONCESION ALTO MAGDALENA S.A.S.,ALMA-2020-2034,CONSORCIO 4C,GP-13060,10/08/2020,Respuesta comunicación CI.004/GP8137/20/7.1.8 (Rad. Int. ALMA-R-2020-1303 del 07/07/20). Solicitud Información/Cronograma actividades Gestión Ambiental.,15_04_Comunic_Recibidas/2020/CI004_GP-13060_070108_CON_2034_CRONOG_GEST_AMB.pdf
3,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2020-1537,CONSORCIO 4C,GP-12748,08/06/2020,Respuesta radicado ANLA No. 2019087751-2-222 (ALMA-R-20191690 - 12/07/2019) - Ajuste información geográfica documentos Cumplimiento Ambiental - ICA No. 4. Expediente: LAV004-00-2016.,15_04_Comunic_Recibidas/2020/CI004_GP-12748_070108_CON_1537_ICA_N04.pdf
4,4,Superintendencia de Transporte,SPT-022717-1,CONSORCIO 4C,GP-12426,23/04/2020,CVN 31. Concesión Girardot - Honda - Puerto Salgar Seguimiento acciones requeridas con radicado Nro. 20207300194831 'Requerimiento de información – Medidas de prevención COVID-19',15_04_Comunic_Recibidas/2020/CI004_GP-12426_070600_SPT_022717-1_MEDID_PREVENT_COVID-19.pdf
5,2,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2020-0996,CONSORCIO 4C,GP-12340,16/04/2020,Suspensión temporal de actividades correspondientes a los procesos de rehabilitación por los diferentes permisos de levantamiento de veda otorgados. Expediente ATV0271.,15_04_Comunic_Recibidas/2020/CI004_GP-12340_070108_CON_0996_SUSPEN_ACTIV_COVID-19.pdf
6,6,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2020-0713,CONSORCIO 4C,GP-12142,09/03/2020,Respuesta comunicado CI.004/GP6995/19/7.1.10 (Rad. Interno ALMA-R-20192315 del 26/09/2019) Incumplimiento condiciones de seguridad UF 3 Semana 241 y 242.,15_04_Comunic_Recibidas/2020/CI004_GP-12142_070110_CON_0713_CONDI_SEG_UF3.pdf
27,2,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2020-1283,CONSORCIO 4C,GP-12574,08/05/2020,Respuesta a su comunicación ANLA 2020056177-2-000 (Rad. Interno ALMA-R-2020-0762 del 14/04/2020). Expediente: LAV0068-002015,15_04_Comunic_Recibidas/2020/CI004_GP-12574_070108_CON_1283_MODIFI_LIC_AMB_RESOL_1684.pdf
28,4,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2020-0433,CONSORCIO 4C,GP-11989,12/02/2020,Respuesta comunicado CI.004/GP7388/19/7.1.10 (Rad. Int. ALMA-R-2020-0047) del 09/01/2020 Incumplimiento condiciones SST UF 4 Y 5 Semana 242 y 249.,15_04_Comunic_Recibidas/2020/CI004_GP-11989_070110_CON_0433_INCUMP_CONDI_SST_UF4_5.pdf
26,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2020-1428,CONSORCIO 4C,GP-12823,22/05/2020,Respuesta comunicación CI.004/GP7928/20/7.4.6 (Rad. interno ALMA-R-2020-0979 del 15/05/2020) Entrega del expediente predial (Físico) ALMA-3-0121 para aprobación definitiva del Avalúo Comercial Corporativo.,15_04_Comunic_Recibidas/2020/CI004_GP-12823_070406_CON_1428_EXP_AVALUO.pdf
30,1,CONCESION ALTO MAGDALENA S.A.S.,ALMA-2020-1872,CONSORCIO 4C,GP-12946,16/07/2020,Siembra compensaciones. Expediente 61892.,15_04_Comunic_Recibidas/2020/CI004_GP-12946_070108_CON_1872_SIEMBRA_COMPENSA_61892.pdf
31,5,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2020-0283,CONSORCIO 4C,GP-11898,03/02/2020,Respuesta comunicado CI.004/GP7154/19/7.1.10 (Rad. Int. ALMA-R-20192640 del 8/11/2019) Incumplimiento condiciones de seguridad UF 4 y 5 Semana 247.,15_04_Comunic_Recibidas/2020/CI004_GP-11898_070110_CON_0283_INCUMP_CONDI_SEG_UF4_5.pdf
25,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2020-1369,CONSORCIO 4C,GP-12645,18/05/2020,"Cumplimiento obligación artículo 2 del Auto CAR DRAM No. 094 del 23 de enero de 2020, y a la Resolución CAR No. 0396 del 24 de febrero de 2016. Entrega del informe de disposición de residuos. Expediente 51730.",15_04_Comunic_Recibidas/2020/CI004_GP-12645_070108_CON_1369_DISPOSI_RESIDUOS_EXP_51730.pdf
34,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2020-1148,CONSORCIO 4C,GP-12474,29/04/2020,Remisión Actas UF1 de Enero–Febrero y Marzo 2020 y UF3 de Enero 2020,15_04_Comunic_Recibidas/2020/CI004_GP-12474_070210_CON_1148_ACTAS_RETRIBU_UF1_UF3.pdf
32,8,CONCESION ALTO MAGDALENA S.A.S.,ALMA-2020-2907,CONSORCIO 4C,GP-13578,20/11/2020,Respuesta comunicación CI.004/GP8601/20/5.3 del 4 de noviembre de 2020 y radicado ALMA-R-2020-2046. Informe Plazo Cura ocho (8) Expedientes Prediales.,15_04_Comunic_Recibidas/2020/CI004_GP-13578_070401-050300_CON_2907_PLAZO_CURA_EXP_PREDIAL.pdf
35,4,CONCESION ALTO MAGDALENA S.A.S.,ALMA-2020-1859,CONSORCIO 4C,GP-12936,15/07/2020,Evaluación Percepción del Cliente.,15_04_Comunic_Recibidas/2020/CI004_GP-12936_070102-070109_CON_1859_EVALUA_CLIENTE.pdf
39,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2020-1014,CONSORCIO 4C,GP-12395,17/04/2020,GCSP-F-009 Informe Mensual Recaudo de Peajes del mes de marzo de 2020,15_04_Comunic_Recibidas/2020/CI004_GP-12395_070202_CON_1014_FOR_GCSP-F009_MAR20.pdf
38,2,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2020-2192,CONSORCIO 4C,GP-13165,24/08/2020,Respuesta Derecho de Petición elevado por el señor ROGELIO ORJUELA en calidad de mejoratario del predio ALMA-2-0036.,15_04_Comunic_Recibidas/2020/CI004_GP-13165_070109-070402_CON_2192_DP_RORJUELA.pdf
36,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2020-1214,CONSORCIO 4C,GP-12521,04/05/2020,"Cumplimiento obligación artículo 2 del Auto CAR DRAM No. 0112 del 23 de enero de 2020, y a la Resolución CAR No. 0388 del 24 de febrero de 2016. Entrega informe de disposición de residuos. Expediente 51906.",15_04_Comunic_Recibidas/2020/CI004_GP-12521_070108_CON_1214_DISPOSI_RESIDUOS_EXP_51906.pdf
