ÍTEM,DEL FOLIO/PAGINAS,RAZON SOCIAL REMITENTE,No. RADICADO REMITENTE,RAZON SOCIAL DESTINATARIO,No. RADICADO DESTINATARIO,FECHA (DD/MM/AAAA),ASUNTO / TIPO DOCUMENTAL,UBICACION_ARCHIVO
1,10,,,CONSORCIO 4C,GP-11313,,,15_04_Comunic_Recibidas/2019/CI004_GP-11313_050300_CON_03281_ACTA_EER_MAYOR_REDES.pdf
3,5,,,CONSORCIO 4C,GP-11619,,,15_04_Comunic_Recibidas/2019/CI004_GP-11619_070114_CON_03859_CARGA_INVERTRAC_SA.pdf
2,9,,,CONSORCIO 4C,GP-9873,,,15_04_Comunic_Recibidas/2019/CI004_GP-9873_070401_CON_00829_DESAFECT_PREDIAL.pdf
4,5,,,CONSORCIO 4C,GP-10373,,,15_04_Comunic_Recibidas/2019/CI004_GP-10373_070108_CON_01801_USO_ZODMES.pdf
5,2,,,CONSORCIO 4C,GP-9641,,,15_04_Comunic_Recibidas/2019/CI004_GP-9641_070108_CON_00365_ICA_N°5_UF1.pdf
6,1,,,CONSORCIO 4C,GP-11416,,,15_04_Comunic_Recibidas/2019/CI004_GP-11416_070108_CON_03524_SIEMBRA_COMPENSA_EXP_51895.pdf
7,1,,,CONSORCIO 4C,GP-11125,,,15_04_Comunic_Recibidas/2019/CI004_GP-11125_070108_ANI_035071-1_AUTORID_AMB.pdf
8,2,,,CONSORCIO 4C,GP-11524,,,15_04_Comunic_Recibidas/2019/CI004_GP-11524_070500_CON_03651_OBS_MEMOTEC_JUN19.pdf
9,1,,,CONSORCIO 4C,GP-10453,,,15_04_Comunic_Recibidas/2019/CI004_GP-10453_070109_CON_02014_EER_HALLAZ_ARQUEO_UF5.pdf
10,1,,,CONSORCIO 4C,GP-9485,,,15_04_Comunic_Recibidas/2019/CI004_GP-9485_070108_CON_00074_DEV_RECUR_TRANSA.pdf
11,1,,,CONSORCIO 4C,GP-11660,,,15_04_Comunic_Recibidas/2019/CI004_GP-11660_070109_CON_03916_PLAN_GEST_SOCIOPREDIAL.pdf
12,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2019-01821,CONSORCIO 4C,GP-10384,28/05/2019,Diseño de mezcla densa en caliente MDC-19 TIPO III,15_04_Comunic_Recibidas/2019/CI004_GP-10384_070107_CON_01821_DISEÑ_MEZCLA_MDC-19.pdf
14,3,CONCESION ALTO MAGDALENA S.A.S,,CONSORCIO 4C,GP-10960,06/09/2019,Solicitud aplicación Código de Policía retiro ventas ambulantes ubicadas en Bienes de Uso Público en la vereda Guarino.,15_04_Comunic_Recibidas/2019/CI004_GP-10960_070109_CON_02858_RETIRO_VTAS_AMBULAN.pdf
13,2,CONCESION ALTO MAGDALENA S.A.S,,CONSORCIO 4C,GP-10932,15/08/2019,Solicitud prórroga permiso de aprovechamiento forestal único otorgado mediante la Resolución No. 0274 del 29 de agosto de 2018.,15_04_Comunic_Recibidas/2019/CI004_GP-10932_070108_CON_02672_PRORROG_APROV_FOREST.pdf
15,12,,,CONSORCIO 4C,GP-10822,13/08/2019,Remisión Acta de declaratoria de Evento Eximente de Responsabilidad Unidad Funcional 4– Proyecto Girardot – Honda – Puerto Salgar – Contrato de Concesión No 003/2014.,15_04_Comunic_Recibidas/2019/CI004_GP-10822_050300_ANI_026349-1_ACTA_EER_UF4_GEST_AMB.pdf
16,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2019-02425,CONSORCIO 4C,GP-10728,24/07/2019,Respuesta oficio CL.004/GP6707/19/7.4.1 (Rad. Interno ALMA-R-20191759),15_04_Comunic_Recibidas/2019/CI004_GP-10728_070401_CON_02425_EXP_PREDIAL.pdf
17,1,CONCESIÓN ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-11254,28/09/2019,Respuesta comunicación CI.004/GP6925/19/5.3 (Rad. interno ALMA-R-20192165 del 06/09/2019). Entrega del expediente ALMA-5-0127 para aprobación del Avalúo Comercial Corporativo.,15_04_Comunic_Recibidas/2019/CI004_GP-11254_070406_CON_03071_EXP_AVALUO.pdf
18,4,CONCESIÓN ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-9883,07/03/2019,Reiteración solicitud de atención zonas de alto riego en los barrios la Colina y Brisas de la Inspección de Puerto Bogotá por condiciones del terreno.,15_04_Comunic_Recibidas/2019/CI004_GP-9883_070109_CON_00869_ZONA_ALTO_RIESG.pdf
19,1,,,CONSORCIO 4C,GP-9579,24/01/2019,Oficio radicado ANI 20194090010232. Cierres no autorizados Unidad Funcional 5.2. Proyecto Girardot – Honda -- Puerto Salgar. Contrato de Concesión 003 de 2014 – Concesión Alto Magdalena S.A.S.,15_04_Comunic_Recibidas/2019/CI004_GP-9579_050300-070111_ANI_001689-1_CIERR_NO_AUTO.pdf
20,6,Agencia Nacional de Infraestructura,,CONSORCIO 4C,GP-11560,04/12/2019,Cambio y presentación de Auxiliar de Ingeniería. Fase de Construcción. Radicado ANI No. 2019-409-123339-2 de fecha 26 de noviembre de 2019. Contrato de Interventoría 145 del 2014. Contrato de Concesión Vial Nc. 003 de 2014 Concesión Girardot Honda Puerto Salgar.,15_04_Comunic_Recibidas/2019/CI004_GP-11560_020200_ANI_041755-1_APROBA_HV_ING_AUX.pdf
21,1,CONCESION ALTO MAGDALENA S.A.S.,NIT 900.745.219-3,CONSORCIO 4C,GP-11186,18/10/2019,Siembra medida compensatoria. Expediente 51722.,15_04_Comunic_Recibidas/2019/CI004_GP-11186_070108_CON_03244_SIEMBRA_COMPENSA_51722.pdf
22,3,Agencia Nacional de Infraestructura,,CONSORCIO 4C,GP-10099,09/04/2019,Respuesta a una comunicación con radicado ANI No 20194090007642 del 04/01/2019 – Comité No 3 de aprobación de aportes subcuenta de redes – Contrato de Concesión No 003 de 2014. Concesión Girardot – Honda – Puerto Salgar.,15_04_Comunic_Recibidas/2019/CI004_GP-10099_070201-070115_ANI_011196-1_APROB_SUBCTA_REDES.pdf
23,1,CONCESIÓN ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-11302,26/09/2019,Respuesta comunicación CI.004/GP6925/19/5.3 (Rad. interno ALMA-R-20192165 del 06/09/2019). Entrega del expediente ALMA-5-0128 para aprobación del Avalúo Comercial Corporativo.,15_04_Comunic_Recibidas/2019/CI004_GP-11302_070406_CON_03072_EXP_AVALUO.pdf
24,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2019-03189,CONSORCIO 4C,GP-11205,15/10/2019,Cumplimiento Resolución No. 335 del 08 de junio de 2016. Entrega Informe final puentes. Expediente 284.,15_04_Comunic_Recibidas/2019/CI004_GP-11205_070108_CON_03189_CUMPLI_RESOL_335.pdf
25,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2019-02787,CONSORCIO 4C,GP-10904,28/08/2019,Entrega expedientes prediales ALMA-5-0100 y ALMA-5-0101 para aprobación de Actualización al Estudio de Títulos,15_04_Comunic_Recibidas/2019/CI004_GP-10904_070401_CON_02787_EXP_PREDIAL.pdf
26,1,Agencia Nacional de Infraestructura,2019-409-000020-4,CONSORCIO 4C,GP-10303,08/05/2019,Lineamientos sobre reversión de archivos a la Agencia Nacional de Infraestructura una vez finalizados los contratos,15_04_Comunic_Recibidas/2019/CI004_GP-10303_010000-040200_ANI_000020-4_ARCHIVO_ANI.pdf
27,1,CONCESION ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-11582,05/12/2019,Respuesta comunicación CI.004/GP7035/19/7.4 (Rad. interno ALMA-R-20192405 del 04/10/2019). Entrega del expediente ALMA-2-0003-1 para aprobación del Avalúo Comercial Corporativo.,15_04_Comunic_Recibidas/2019/CI004_GP-11582_070406_CON_03785_EXP_AVALUO.pdf
28,1,CONCESIÓN ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-10971,09/09/2019,Respuesta comunicación GP6894/19/7.4.1 (Rad. Int. ALMA-R-20192057 – 27/08/2019) – Predio Junta de Acción Comunal Puerto Bogotá – ALMA-5-0214.,15_04_Comunic_Recibidas/2019/CI004_GP-10971_070401_CON_CON_02878_PREDIO_JTA_COMUNAL.pdf
29,4,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2019-00869,CONSORCIO 4C,GP-9915,07/03/2019,Reiteración solicitud de atención zonas de alto riego en los barrios la Colina y Brisas de la Inspección de Puerto Bogotá por condiciones del terreno.,15_04_Comunic_Recibidas/2019/CI004_GP-9915_070109_CON_00869_ZONA_ALTO_RIESG.pdf
30,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2019-00859,CONSORCIO 4C,GP-9983,07/03/2019,"Entrega del expediente predial ALMA-5-0277, para revisión y aprobación de componente social.",15_04_Comunic_Recibidas/2019/CI004_GP-9983_070402_CON_00859_EXP_SOCIAL.pdf
31,2,CONCESION ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-10776,26/07/2019,Prohibición instalación servicios públicos domiciliarios en las áreas de exclusión determinadas en la ley 1228 del 2008.,15_04_Comunic_Recibidas/2019/CI004_GP-10776_070115-070114_CON_02450_PROHIB_INSTAL_SERV_PUB.pdf
