ÍTEM,DEL FOLIO/PAGINAS,RAZON SOCIAL REMITENTE,No. RADICADO REMITENTE,RAZON SOCIAL DESTINATARIO,No. RADICADO DESTINATARIO,FECHA (DD/MM/AAAA),ASUNTO / TIPO DOCUMENTAL,UBICACION_ARCHIVO
3,1,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,CONSORCIO 4C,GP-3946,03/01/2017,Solicitud certificación del valor de la Vivienda de Interés Social Prioritario.,15_04_Comunic_Recibidas/2017/CI004_GP-3946_070402_CON_0042_SOL_CERTIF_VR_VVDA_INTPRIORIT_GIR.pdf
2,2,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,CONSORCIO 4C,GP-5473,04/07/2017,Ajuste Diseño Geométrico vía de acceso en V1C – Revisión 2 y Diseño Arquitectónico del CCO en V1C – Revisión 3 y atención comunicación CI.004/GP2421/17/7.1.7 del 02 de junio de 2017.,15_04_Comunic_Recibidas/2017/CI004_GP-5473_070107_CON_2648_DISEÑ_GEOME_CCO.pdf
1,7,CONCESIÓN ALTO MAGDALENA S.A.S,NO IDENTIFICADO,CORPORACIÓN AUTÓNOMA REGIONAL DEL CAUCA - CAR,GP-4749,03/04/2017,"Solicitud de desistimiento de la construcción de la obra hidráulica aprobada mediante Resolución No. 0767 del 13 de abril de 2016, Expediente 51961 - Unica Funcional 4.",15_04_Comunic_Recibidas/2017/CI004_GP-4749_070108_CON_1271_DESISTI_OBRA_HIDRAU.pdf
4,6,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,CONSORCIO 4C,GP-5913,11/09/2017,Su comunicación CI.004/GP2689/17/7.1.3– Radicado ALMA-R-2017-02413 del 21 de julio de 2017. Revisión Uso Mezcla MSC19 Como Capa Intermedia Pavimento UF3 ALMA-2017-2205,15_04_Comunic_Recibidas/2017/CI004_GP-5913_070103_CON_3696_REV_MEZCL_MSC19_PAVIMEN_UF3.pdf
5,2,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,CONSORCIO 4C,GP-4274,10/02/2017,Respuesta a su comunicación CI.004/GP1755/17/7.1.4 (ALMA-R-2017-000334) del 26 de enero de 2017. – Unidad Funcional 5 Entrada y salida de volquetas habilitada para la construcción del puente sobre el río Guarinó.,15_04_Comunic_Recibidas/2017/CI004_GP-4274_070300_CON_0599_UF_5_ING_SALID_VOLQUET_PTE_GUARIN.pdf
6,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALTA-2017-5914,CONSORCIO 4C,GP-0027,21/09/2017,Entrega de un (1) expediente de la Unidad Funcional 4 para revisión en la etapa de expropiación.,15_04_Comunic_Recibidas/2017/CI004_GP-6203_070401_CON_3914_EXPED_UF4_EXPROPIACION.pdf
7,2,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,CONSORCIO 4C,GP-4554,14/03/2017,Respuesta a su comunicación CI.004/GP1753/17/7.1.9 del 26 de enero de 2017 (Rad. Interno ALMA-R-2017-00317) – Reporte ante el ICANH posible fósil encontrado en el K18+890 Unidad Funcional 2.,15_04_Comunic_Recibidas/2017/CI004_GP-4554_070109_CON_1001_REPOR_ICANH_POSI_FOSIL_ENCON_K18+890_UF2.pdf
9,1,CONCESION ALTO MAGDALENA S.A.S.,CI.004/GP2115,CONSORCIO 4C,GP-2366,09/05/2017,Respuesta a su comunicación CI.004/GP2115/17/7.4 de fecha 05 de Abril de 2017 (Rad-1120). Entrega de un (1) expediente para aprobación del Avalúo Comercial Corporativo.,15_04_Comunic_Recibidas/2017/CI004_GP-5045_070401_CON_1822_(1)EXPEDI_PREDI_APROBA_AVALU_COMER_CORP_UF4.pdf
11,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2017-0710,CONSORCIO 4C,GP-0068,22/02/2017,"Entrega de un (1) expediente predial de la Unidad Funcional 3, para aprobación de Ficha Predial.",15_04_Comunic_Recibidas/2017/CI004_GP-4382_070401_CON_0710_ENTRE_(1)_EXPEDI_PREDI_UF3_APROBA_FICHA_PREDI.pdf
10,6,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2017-0783,CONSORCIO 4C,CI.004/GP1847/17/7.1.8,27/02/2017,Respuesta a comunicación CI.004/GP1847/17/7.1.8 del 13 de febrero de 2017 (ALMA-R-2017-00535) – Observaciones Informe Trimestral Socio Ambiental 9 – Componente Social.,15_04_Comunic_Recibidas/2017/CI004_GP-4411_070108_CON_0783_OBSERV_INFOR_TRIMS_SOCI_AMBIEN.pdf
